Date,Region,City,Category,Product,Customer Type,Payment Method,Delivery Status,Salesperson,Quantity,Units Sold,Unit Price,Revenue,Return Status,Return Amount
12-04-2024,East,Bhubaneswar,Sports,Bat,Returning,Net Banking,Pending,Priya,2,2,1779,3558,No,0
11-03-2025,East,Bhubaneswar,Electronics,Tablet,New,UPI,Delivered,Sneha,7,7,246.87,1728.09,No,0
27-09-2024,East,Kolkata,Sports,Shoes,New,Card,Delivered,Amit,2,2,1089.08,2178.16,No,0
16-04-2024,West,Pune,Electronics,Tablet,Returning,Cash,Delivered,Karan,2,2,1022.91,2045.82,No,0
12-03-2024,North,Chandigarh,Fashion,Shirt,New,Net Banking,Pending,Sneha,6,6,4353.9,26123.4,No,0
01-12-2025,North,Delhi,Sports,Bat,Returning,Net Banking,Pending,Amit,2,2,3342,6684,No,0
21-01-2024,South,Bangalore,Electronics,Tablet,New,Cash,Shipped,Amit,2,2,1296.32,2592.64,No,0
06-09-2025,South,Chennai,Sports,Ball,Returning,Card,Pending,Sneha,8,8,3865.74,30925.92,No,0
01-05-2024,North,Chandigarh,Home,Lamp,New,Cash,Delivered,Rohit,9,9,3478.68,31308.12,No,0
11-04-2025,North,Delhi,Fashion,Shoes,Returning,Card,Shipped,Priya,3,3,4710.29,14130.87,No,0
02-08-2024,East,Kolkata,Electronics,Tablet,Returning,Card,Delivered,Karan,5,5,2928.21,14641.05,No,0
26-11-2024,West,Pune,Groceries,Milk,New,Net Banking,Delivered,Karan,2,2,4997.13,9994.26,Yes,9811.76
03-04-2025,South,Bangalore,Groceries,Rice,Returning,Card,Shipped,Karan,9,9,4967.35,44706.15,No,0
28-03-2024,East,Bhubaneswar,Electronics,Tablet,New,Cash,Pending,Amit,5,5,2878.38,14391.9,No,0
07-01-2025,North,Chandigarh,Groceries,Milk,Returning,UPI,Shipped,Amit,4,4,3287.51,13150.04,No,0
09-04-2024,West,Pune,Sports,Bat,Returning,Cash,Delivered,Rohit,4,4,3371.21,13484.84,No,0
25-10-2025,West,Pune,Electronics,Tablet,Returning,Cash,Pending,Sneha,2,2,4401.67,8803.34,No,0
10-05-2024,East,Bhubaneswar,Electronics,Laptop,Returning,Net Banking,Pending,Priya,1,1,689.02,689.02,No,0
23-10-2025,South,Chennai,Home,Lamp,Returning,UPI,Pending,Sneha,9,9,1709.07,15381.63,No,0
04-11-2024,South,Bangalore,Fashion,Shoes,New,Net Banking,Delivered,Priya,7,7,2860.85,20025.95,No,0
09-12-2024,West,Pune,Home,Lamp,Returning,Cash,Pending,Priya,9,9,3022.78,27205.02,No,0
06-05-2025,East,Kolkata,Sports,Shoes,Returning,Net Banking,Shipped,Amit,3,3,1213.62,3640.86,Yes,2485.83
17-02-2025,South,Chennai,Electronics,Phone,New,Cash,Shipped,Sneha,2,2,2371.12,4742.24,No,0
20-01-2025,South,Bangalore,Fashion,Jeans,Returning,Net Banking,Shipped,Rohit,8,8,2643.5,21148,No,0
10-07-2024,South,Chennai,Fashion,Jeans,Returning,Net Banking,Pending,Amit,5,5,4087.45,20437.25,No,0
03-10-2024,South,Chennai,Electronics,Phone,New,Net Banking,Shipped,Priya,5,5,2054.23,10271.15,No,0
09-06-2024,North,Chandigarh,Home,Lamp,New,Cash,Pending,Priya,4,4,3078.73,12314.92,No,0
04-04-2025,South,Bangalore,Electronics,Phone,Returning,Net Banking,Pending,Karan,6,6,3759.69,22558.14,No,0
09-11-2024,South,Chennai,Electronics,Laptop,New,Cash,Shipped,Sneha,5,5,1059.31,5296.55,Yes,3802.82
22-01-2024,East,Kolkata,Fashion,Shoes,Returning,Net Banking,Pending,Sneha,9,9,3308,29772,No,0
09-09-2024,North,Delhi,Home,Table,Returning,Card,Shipped,Sneha,4,4,4678.74,18714.96,No,0
14-07-2025,East,Kolkata,Home,Chair,New,Card,Pending,Rohit,2,2,915.02,1830.04,No,0
19-04-2025,North,Delhi,Sports,Bat,New,Net Banking,Pending,Rohit,5,5,1495.88,7479.4,No,0
28-02-2024,West,Mumbai,Electronics,Phone,Returning,UPI,Delivered,Amit,3,3,2946.57,8839.71,No,0
25-05-2025,East,Bhubaneswar,Groceries,Rice,Returning,Cash,Delivered,Karan,2,2,2059.54,4119.08,No,0
12-11-2025,North,Chandigarh,Sports,Shoes,Returning,Net Banking,Delivered,Rohit,9,9,2660.16,23941.44,No,0
